	k	p	c	o	f	g	s
OTU_4	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rickettsiales	f:Mitochondria	g:Phytophthora_ramorum_[Sudden_oak_death_agent]	Unclassified
OTU_2	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rickettsiales	f:Mitochondria	Unclassified	Unclassified
OTU_1	k:Bacteria	p:Cyanobacteria	c:Chloroplast	Unclassified	Unclassified	Unclassified	Unclassified
OTU_5	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Methylobacteriaceae	g:Methylobacterium	Unclassified
OTU_9	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Caulobacterales	f:Caulobacteraceae	g:Phenylobacterium	s:Phenylobacterium_sp._T2-YC6777
OTU_3	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Bradyrhizobiaceae	g:Bradyrhizobium	s:Bradyrhizobium_elkanii
OTU_6	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Sphingomonadaceae	g:Sphingomonas	s:Sphingomonas_sp._MK01
OTU_10	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Oxalobacteraceae	g:Massilia	Unclassified
OTU_8	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Comamonadaceae	Unclassified	Unclassified
OTU_7	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Streptomycetales	f:Streptomycetaceae	Unclassified	Unclassified
OTU_11	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Methylobacteriaceae	g:Methylobacterium	Unclassified
OTU_12	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Enterobacteriales	f:Enterobacteriaceae	g:Buchnera	Unclassified
OTU_16	k:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cytophagaceae	g:Hymenobacter	Unclassified
OTU_13	k:Bacteria	p:Chloroflexi	c:KD4-96	Unclassified	Unclassified	Unclassified	Unclassified
OTU_15	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Sphingomonadaceae	g:Sphingomonas	s:Sphingomonas_sp._N2
OTU_18	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Methylobacteriaceae	g:Methylobacterium	Unclassified
OTU_14	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Aurantimonadaceae	g:Aureimonas	s:Aurantimonas_sp._AU22
OTU_17	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Oxalobacteraceae	g:Massilia	Unclassified
OTU_19	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Sphingomonadaceae	g:Sphingomonas	s:Sphingomonas_sp._ZY-3
OTU_20	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Sphingomonadaceae	g:Novosphingobium	Unclassified
OTU_22	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Propionibacteriales	f:Nocardioidaceae	g:Marmoricola	Unclassified
OTU_21	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Streptomycetales	f:Streptomycetaceae	g:Streptomyces	s:Streptomyces_sp._QLS38
OTU_23	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Sphingomonadaceae	g:Sphingomonas	Unclassified
OTU_25	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Caulobacterales	f:Caulobacteraceae	g:Caulobacter	s:glacier_bacterium_FXI47
OTU_27	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Subgroup_4	f:RB41	Unclassified	Unclassified
OTU_24	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Frankiales	f:Geodermatophilaceae	g:Modestobacter	s:Geodermatophilus_taihuensis
OTU_26	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Rhizobiaceae	g:Rhizobium	s:Agrobacterium_tumefaciens
OTU_28	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Rhizobiaceae	g:Rhizobium	s:Rhizobium_leguminosarum_bv._trifolii
OTU_30	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Methylobacteriaceae	g:Methylobacterium	s:Methylobacterium_adhaesivum
OTU_29	k:Bacteria	p:Firmicutes	c:Bacilli	o:Lactobacillales	f:Streptococcaceae	g:Streptococcus	Unclassified
OTU_33	k:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cytophagaceae	g:Dyadobacter	s:Dyadobacter_sp._Z12
OTU_38	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micrococcales	f:Micrococcaceae	g:Arthrobacter	s:Arthrobacter_sp._110
OTU_32	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Pseudonocardiales	f:Pseudonocardiaceae	g:Amycolatopsis	Unclassified
OTU_35	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Phyllobacteriaceae	g:Mesorhizobium	s:Mesorhizobium_loti
OTU_39	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhodospirillales	f:Acetobacteraceae	g:Roseomonas	Unclassified
OTU_34	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Streptomycetales	f:Streptomycetaceae	g:Streptomyces	Unclassified
OTU_36	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Kineosporiales	f:Kineosporiaceae	g:Quadrisphaera	s:Quadrisphaera_sp._THG-DM1
OTU_40	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Gaiellales	f:Gaiellaceae	g:Gaiella	Unclassified
OTU_37	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Enterobacteriales	f:Enterobacteriaceae	g:Escherichia-Shigella	Unclassified
OTU_44	k:Bacteria	p:Cyanobacteria	c:Chloroplast	Unclassified	Unclassified	Unclassified	Unclassified
OTU_41	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Oxalobacteraceae	g:Massilia	Unclassified
OTU_43	k:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:Chitinophagaceae	g:Niastella	s:Niastella_yeongjuensis
OTU_42	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Streptosporangiales	f:Streptosporangiaceae	g:Nonomuraea	Unclassified
OTU_48	k:Archaea	p:Thaumarchaeota	c:Soil_Crenarchaeotic	Unclassified	Unclassified	Unclassified	Unclassified
OTU_45	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Burkholderiaceae	g:Ralstonia	Unclassified
OTU_51	k:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:Chitinophagaceae	g:Niastella	Unclassified
OTU_47	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Pseudonocardiales	f:Pseudonocardiaceae	g:Pseudonocardia	Unclassified
OTU_49	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Methylobacteriaceae	g:Methylobacterium	s:Methylobacterium_komagatae
OTU_46	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Comamonadaceae	Unclassified	Unclassified
OTU_50	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	f:Solirubrobacteraceae	g:Solirubrobacter	s:bacterium_Ellin5249
OTU_52	k:Bacteria	p:Verrucomicrobia	c:Spartobacteria	o:Chthoniobacterales	f:DA101_soil_group	Unclassified	Unclassified
OTU_53	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Pseudomonadales	f:Pseudomonadaceae	g:Pseudomonas	Unclassified
OTU_54	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Burkholderiaceae	g:Burkholderia	Unclassified
OTU_55	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Propionibacteriales	f:Nocardioidaceae	g:Kribbella	s:Kribbella_jejuensis
OTU_59	k:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:Chitinophagaceae	g:Chitinophaga	s:Bacteroidetes_bacterium_CN3G2-10
OTU_56	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Xanthomonadales	f:Xanthomonadales_Incertae_Sedis	g:Steroidobacter	s:bacterium_D29
OTU_61	k:Bacteria	p:Bacteroidetes	c:Bacteroidia	o:Bacteroidales	f:Porphyromonadaceae	g:Dysgonomonas	Unclassified
OTU_62	k:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cytophagaceae	g:Hymenobacter	Unclassified
OTU_57	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Kineosporiales	f:Kineosporiaceae	g:Kineococcus	s:Kineococcus_sp._YIM_65377
OTU_58	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Frankiales	f:Geodermatophilaceae	g:Blastococcus	s:bacterium_Ellin6023
OTU_64	k:Bacteria	p:Cyanobacteria	c:Cyanobacteria	o:SubsectionIII	f:FamilyI	g:Phormidium	s:Microcoleus_sp._SAG_2212
OTU_60	k:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	f:Bacillaceae	g:Bacillus	Unclassified
OTU_65	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Propionibacteriales	f:Nocardioidaceae	g:Nocardioides	s:bacterium_Ellin5133
OTU_63	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Corynebacteriales	f:Mycobacteriaceae	g:Mycobacterium	Unclassified
OTU_68	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Methylophilales	f:Methylophilaceae	g:Methylotenera	Unclassified
OTU_66	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micromonosporales	f:Micromonosporaceae	g:Micromonospora	Unclassified
OTU_67	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Hyphomicrobiaceae	g:Devosia	Unclassified
OTU_70	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Xanthomonadales	f:Xanthomonadaceae	g:Dyella	s:Dyella_marensis
OTU_69	k:Bacteria	p:Firmicutes	c:Clostridia	o:Clostridiales	f:Lachnospiraceae	g:Pseudobutyrivibrio	s:butyrate-producing_bacterium_M104/1
OTU_71	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Enterobacteriales	f:Enterobacteriaceae	g:Enterobacter	Unclassified
OTU_75	k:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:Sphingobacteriaceae	g:Mucilaginibacter	Unclassified
OTU_78	k:Archaea	p:Thaumarchaeota	c:Soil_Crenarchaeotic	Unclassified	Unclassified	Unclassified	Unclassified
OTU_73	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Streptosporangiales	f:Streptosporangiaceae	g:Sphaerisporangium	s:Sphaerisporangium_viridialbum
OTU_74	k:Bacteria	p:Chloroflexi	c:Gitt-GS-136	Unclassified	Unclassified	Unclassified	Unclassified
OTU_77	k:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cytophagaceae	g:Spirosoma	Unclassified
OTU_72	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Frankiales	f:Nakamurellaceae	g:Nakamurella	Unclassified
OTU_76	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Gaiellales	Unclassified	Unclassified	Unclassified
OTU_79	k:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:Chitinophagaceae	g:Chitinophaga	s:Chitinophaga_sp._MJM_38
OTU_80	k:Bacteria	p:Chloroflexi	c:Anaerolineae	o:Anaerolineales	f:Anaerolineaceae	Unclassified	Unclassified
OTU_84	k:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:Chitinophagaceae	g:Chitinophaga	s:Chitinophaga_filiformis
OTU_83	k:Bacteria	p:Cyanobacteria	c:Cyanobacteria	o:SubsectionIII	f:FamilyI	Unclassified	Unclassified
OTU_81	k:Bacteria	p:Firmicutes	c:Bacilli	o:Lactobacillales	f:Streptococcaceae	g:Streptococcus	Unclassified
OTU_82	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Burkholderiaceae	g:Burkholderia	s:Burkholderia_sp._13
OTU_86	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhodospirillales	f:Rhodospirillaceae	g:Dongia	Unclassified
OTU_87	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Comamonadaceae	Unclassified	Unclassified
OTU_88	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Xanthobacteraceae	Unclassified	Unclassified
OTU_85	k:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	Unclassified	Unclassified	Unclassified
OTU_89	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micromonosporales	f:Micromonosporaceae	g:Dactylosporangium	s:Dactylosporangium_roseum
OTU_90	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Frankiales	f:Acidothermaceae	g:Acidothermus	Unclassified
OTU_96	k:Bacteria	p:Cyanobacteria	c:Chloroplast	Unclassified	Unclassified	Unclassified	Unclassified
OTU_95	k:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cytophagaceae	g:Spirosoma	s:Spirosoma_rigui
OTU_93	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhodospirillales	f:Acetobacteraceae	Unclassified	Unclassified
OTU_91	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Kineosporiales	f:Kineosporiaceae	g:Pseudokineococcus	s:Kineococcus_tegulae
OTU_94	k:Bacteria	p:Chloroflexi	c:KD4-96	Unclassified	Unclassified	Unclassified	Unclassified
OTU_92	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micromonosporales	f:Micromonosporaceae	g:Actinoplanes	Unclassified
OTU_97	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Sphingomonadaceae	g:Sphingomonas	s:Sphingomonas_phyllosphaerae
OTU_98	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Sphingomonadaceae	g:Sphingomonas	Unclassified
OTU_99	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micrococcales	f:Cellulomonadaceae	g:Cellulomonas	s:Cellulomonas_xylanilytica
OTU_102	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhodospirillales	f:Acetobacteraceae	g:Roseomonas	s:Roseomonas_sp._RHLS1-1
OTU_101	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	f:Patulibacteraceae	g:Patulibacter	Unclassified
OTU_103	k:Bacteria	p:Cyanobacteria	c:Cyanobacteria	o:SubsectionIII	f:FamilyI	Unclassified	Unclassified
OTU_100	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Frankiales	f:Frankiaceae	g:Jatrophihabitans	Unclassified
OTU_104	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Xanthomonadales	f:Xanthomonadales_Incertae_Sedis	g:Acidibacter	s:bacterium_Ellin5280
OTU_105	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Propionibacteriales	f:Nocardioidaceae	g:Nocardioides	s:Nocardioides_sp._V3A16
OTU_106	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micrococcales	f:Promicromonosporaceae	g:Promicromonospora	s:Promicromonospora_sp._OAct_33
OTU_107	k:Bacteria	p:Bacteroidetes	c:Flavobacteriia	o:Flavobacteriales	f:Flavobacteriaceae	g:Chryseobacterium	Unclassified
OTU_108	k:Bacteria	p:Gemmatimonadetes	c:Gemmatimonadetes	o:Gemmatimonadales	f:Gemmatimonadaceae	g:Gemmatimonas	Unclassified
OTU_109	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Comamonadaceae	Unclassified	Unclassified
OTU_114	k:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cytophagaceae	g:Hymenobacter	Unclassified
OTU_113	k:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cytophagaceae	g:Hymenobacter	Unclassified
OTU_112	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micrococcales	f:Intrasporangiaceae	g:Terrabacter	s:Terrabacter_sp._THG-e54
OTU_110	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Subgroup_6	Unclassified	Unclassified	Unclassified
OTU_111	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Frankiales	f:Nakamurellaceae	g:Nakamurella	s:Nakamurella_sp._1153-i1wt
OTU_118	k:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cytophagaceae	g:Dyadobacter	s:Dyadobacter_fermentans
OTU_117	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Glycomycetales	f:Glycomycetaceae	g:Glycomyces	Unclassified
OTU_115	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micrococcales	f:Micrococcaceae	g:Arthrobacter	s:Arthrobacter_sp._FV1-1
OTU_116	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Frankiales	f:Geodermatophilaceae	g:Modestobacter	Unclassified
OTU_123	k:Bacteria	p:Cyanobacteria	c:Chloroplast	o:Glycine_max_[soybean]	Unclassified	Unclassified	Unclassified
OTU_122	k:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cytophagaceae	g:Fibrella	Unclassified
OTU_120	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Xanthomonadales	f:Xanthomonadaceae	g:Stenotrophomonas	s:Xanthomonas_retroflexus
OTU_121	k:Bacteria	p:Firmicutes	c:Clostridia	o:Clostridiales	f:Ruminococcaceae	g:Faecalibacterium	Unclassified
OTU_124	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Sphingomonadaceae	Unclassified	Unclassified
OTU_126	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhodospirillales	f:Rhodospirillaceae	g:Skermanella	Unclassified
OTU_119	k:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	f:Bacillaceae	g:Bacillus	Unclassified
OTU_125	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Enterobacteriales	f:Enterobacteriaceae	g:Hafnia	s:Hafnia_alvei
OTU_128	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	Unclassified	Unclassified	Unclassified
OTU_127	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Catenulisporales	f:Actinospicaceae	g:Actinospica	s:actinobacterium_Aac-33
OTU_130	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Xanthobacteraceae	g:Variibacter	s:Rhodoplanes_sp._Z2-YC6860
OTU_129	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micrococcales	f:Microbacteriaceae	Unclassified	Unclassified
OTU_133	k:Bacteria	p:Verrucomicrobia	c:Spartobacteria	o:Chthoniobacterales	f:DA101_soil_group	Unclassified	Unclassified
OTU_132	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	f:288-2	Unclassified	Unclassified
OTU_131	k:Bacteria	p:Nitrospirae	c:Nitrospira	o:Nitrospirales	f:Nitrospiraceae	g:Nitrospira	s:Nitrospira_japonica
OTU_134	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Subgroup_4	f:RB41	Unclassified	Unclassified
OTU_136	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	f:BIrii41	Unclassified	Unclassified
OTU_137	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Sphingomonadaceae	g:Zymomonas	Unclassified
OTU_140	k:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:Chitinophagaceae	Unclassified	Unclassified
OTU_135	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Corynebacteriales	f:Mycobacteriaceae	g:Mycobacterium	s:Mycobacterium_sp.
OTU_138	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	f:Cystobacteraceae	g:Archangium	s:Cystobacteraceae_bacterium_0558-ZXW144
OTU_142	k:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cytophagaceae	g:Hymenobacter	Unclassified
OTU_139	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Pseudonocardiales	f:Pseudonocardiaceae	g:Actinomycetospora	Unclassified
OTU_143	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Xanthomonadales	f:Xanthomonadales_Incertae_Sedis	g:Acidibacter	Unclassified
OTU_141	k:Bacteria	p:Chloroflexi	c:Gitt-GS-136	Unclassified	Unclassified	Unclassified	Unclassified
OTU_145	k:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cytophagaceae	g:Hymenobacter	s:Hymenobacter_algoricola
OTU_144	k:Bacteria	p:Firmicutes	c:Clostridia	o:Clostridiales	f:Ruminococcaceae	g:Ruminococcus_2	Unclassified
OTU_146	k:Bacteria	p:Acidobacteria	c:Holophagae	o:Subgroup_7	Unclassified	Unclassified	Unclassified
OTU_148	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	f:Patulibacteraceae	g:Patulibacter	Unclassified
OTU_150	k:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:Chitinophagaceae	g:Niastella	Unclassified
OTU_147	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micrococcales	f:Microbacteriaceae	Unclassified	Unclassified
OTU_153	k:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cytophagaceae	g:Dyadobacter	Unclassified
OTU_149	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Pseudonocardiales	f:Pseudonocardiaceae	g:Amycolatopsis	s:Amycolatopsis_taiwanensis
OTU_151	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	f:Patulibacteraceae	g:Patulibacter	Unclassified
OTU_152	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Gaiellales	Unclassified	Unclassified	Unclassified
OTU_161	k:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cytophagaceae	g:Spirosoma	Unclassified
OTU_154	k:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	f:Family_XI	g:Gemella	Unclassified
OTU_162	k:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cytophagaceae	g:Hymenobacter	Unclassified
OTU_156	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Propionibacteriales	f:Nocardioidaceae	g:Nocardioides	Unclassified
OTU_155	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Pseudomonadales	f:Pseudomonadaceae	g:Pseudomonas	Unclassified
OTU_159	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Nitrosomonadales	f:Nitrosomonadaceae	Unclassified	Unclassified
OTU_160	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Gaiellales	f:Gaiellaceae	g:Gaiella	Unclassified
OTU_158	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Xanthomonadales	f:Xanthomonadaceae	g:Dokdonella	Unclassified
OTU_157	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Pseudonocardiales	f:Pseudonocardiaceae	Unclassified	Unclassified
OTU_163	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Bradyrhizobiaceae	g:Bosea	s:Afipia_genosp._7
OTU_172	k:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:Chitinophagaceae	g:Ferruginibacter	Unclassified
OTU_164	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Xanthomonadales	f:Xanthomonadaceae	g:Arenimonas	Unclassified
OTU_169	k:Bacteria	p:Deinococcus-Thermus	c:Deinococci	o:Deinococcales	f:Deinococcaceae	g:Deinococcus	Unclassified
OTU_165	k:Bacteria	p:Actinobacteria	c:MB-A2-108	Unclassified	Unclassified	Unclassified	Unclassified
OTU_173	k:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:Chitinophagaceae	g:Niastella	Unclassified
OTU_167	k:Bacteria	p:Acidobacteria	c:Holophagae	o:Subgroup_7	Unclassified	Unclassified	Unclassified
OTU_168	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:SC-I-84	Unclassified	Unclassified	Unclassified
OTU_166	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micrococcales	f:Intrasporangiaceae	Unclassified	Unclassified
OTU_171	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Gaiellales	Unclassified	Unclassified	Unclassified
OTU_170	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Aurantimonadaceae	g:Fulvimarina	s:Bacillus_sp._HB01085
OTU_178	k:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cytophagaceae	g:Hymenobacter	Unclassified
OTU_179	k:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cytophagaceae	g:Hymenobacter	s:Hymenobacter_chitinivorans
OTU_175	k:Bacteria	p:Armatimonadetes	c:Chthonomonadetes	o:Chthonomonadales	f:Chthonomonadaceae	g:Chthonomonas	Unclassified
OTU_180	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Gaiellales	f:Gaiellaceae	g:Gaiella	Unclassified
OTU_177	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Sphingomonadaceae	g:Sphingomonas	Unclassified
OTU_176	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Subgroup_6	Unclassified	Unclassified	Unclassified
OTU_174	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Rhodobiaceae	Unclassified	Unclassified
OTU_181	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	f:0319-6M6	Unclassified	Unclassified
OTU_183	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	f:Haliangiaceae	g:Haliangium	Unclassified
OTU_182	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Kineosporiales	f:Kineosporiaceae	g:Kineosporia	s:Kineosporia_rhamnosa
OTU_185	k:Bacteria	p:Fusobacteria	c:Fusobacteriia	o:Fusobacteriales	f:Fusobacteriaceae	g:Fusobacterium	Unclassified
OTU_186	k:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:Chitinophagaceae	Unclassified	Unclassified
OTU_187	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Gaiellales	Unclassified	Unclassified	Unclassified
OTU_184	k:Bacteria	p:Chloroflexi	c:JG37-AG-4	Unclassified	Unclassified	Unclassified	Unclassified
